Fecha;Tipo de Cambio Minorista;Dólar Ahorro;Dólar MEP;Indice Merval;Badlar en $;Tasa de Interes deposito 30 días;Tasa de Interes prestamos por cuenta corriente;Crecimiento Económico;Riesgo crediticio;Desempleo;Indice de Volatilidad
12/05/2017;15,75;;;21502,4;19,5;17,37;;;;;6571,43
15/05/2017;15,73;;;21656,6;19,6875;17,95;;;;;6666,67
16/05/2017;15,79;;;21833,6;19,875;18,27;;;;;6666,67
17/05/2017;15,89;;;21674,2;19,5625;17,69;;;;;6761,9
18/05/2017;15,9;;;21034;19,875;17,76;;;;;6857,14
19/05/2017;16,27;;;21614,9;19,5625;17,84;;;;;6952,38
22/05/2017;16,22;;;21500,8;19,5625;17,71;;;;;6761,9
23/05/2017;16,41;;;21520,7;19,8125;17,95;;;;;6666,67
24/05/2017;16,34;;;21684,6;19,5;17,71;;;;;6476,19
26/05/2017;16,34;;;22141,7;19,4375;17,76;;;;;6190,48
29/05/2017;16,3;;;22347,4;19,9375;17,84;;;;;6285,71
30/05/2017;16,29;;;22310,6;19,875;18,19;;;;;6571,43
31/05/2017;16,37;;;22348,6;20,0625;17,8;;;;;6380,95
01/06/2017;16,38;;;22518,7;19,4375;17,5;;;;;6000
02/06/2017;16,32;;;22519;19,5625;17,92;;;;;6000
05/06/2017;16,3;;;22443,6;19,625;17,79;;;;;6095,24
06/06/2017;16,3;;;22355,6;19,75;17,87;;;;;6476,19
07/06/2017;16,27;;;22218,7;19,625;18,7;;;;;6380,95
08/06/2017;16,27;;;21928,8;19,8125;17,9;;;;;6666,67
09/06/2017;16,21;;;21614,3;19,8125;18,53;;;;;6571,43
12/06/2017;16,17;;;21145,1;19,5625;17,36;;;;;6800
13/06/2017;16,18;;;21394,9;19,8125;17,85;;;;;6800
14/06/2017;16,17;;;21178,4;19,9375;18,1;;;;;6800
15/06/2017;16,13;;;21009,4;19,75;18,15;;;;;7200
16/06/2017;16,2;;;21291,4;19,75;18,01;;;;;7100
19/06/2017;16,29;;;21657,2;19,625;17,93;;;;;7000
21/06/2017;16,39;;;20614,4;19,75;17,88;;;;;7000
22/06/2017;16,53;;;20996,9;19,8125;17,9;;;;;6800
23/06/2017;16,44;;;21066,1;20,0625;18,39;;;;;7100
26/06/2017;16,42;;;21297;19,875;17,98;;;;;7200
27/06/2017;16,55;;;21226,9;20,125;18,3;;;;;7000
28/06/2017;16,66;;;21394,3;19,9375;18,2;;;;;7000
29/06/2017;16,68;;;21460,8;20,25;18,04;;;;;6900
30/06/2017;16,75;;;21912,6;20,125;18,32;;;;;6900
03/07/2017;16,88;;;22217;19,6875;17,84;;;;;7200
04/07/2017;17,06;;;22385,8;20,1875;18,3;;;;;7100
05/07/2017;17,18;;;22415,8;19,875;18;;;;;7500
06/07/2017;17,4;;;22225,2;20,0625;17,86;;;;;8000
07/07/2017;17,38;;;22027,8;20;18,1;;;;;8000
10/07/2017;17,29;;;21956,6;20,125;18,49;;;;;7600
11/07/2017;17,28;;;22127,3;20,125;17,94;;;;;7300
12/07/2017;17,3;;;22262,6;19,75;17,48;;;;;7300
13/07/2017;17,26;;;21976,4;20;18,12;;;;;7000
14/07/2017;17,26;;;21880,2;20,0625;18,26;;;;;7100
17/07/2017;17,14;;;21296,5;20,1875;18,32;;;;;7100
18/07/2017;17,19;;;21075,3;20,3125;18,4;;;;;6800
19/07/2017;17,39;;;21450,4;20,125;18,15;;;;;6900
20/07/2017;17,46;;;21465,2;20,0625;17,96;;;;;6800
21/07/2017;17,46;;;21498,6;20,1875;18,13;;;;;6800
24/07/2017;17,66;;;21310,4;20,375;18,48;;;;;6800
25/07/2017;17,71;;;21243,3;20,625;18,34;;;;;6700
26/07/2017;17,66;;;21202,9;20,125;18,11;;;;;6900
27/07/2017;17,76;;;21294;20,375;18,29;;;;;7000
28/07/2017;17,86;;;21689,2;20,4375;18,51;;;;;7000
31/07/2017;18,01;;;21582,4;20,6875;18,52;;;;;7100
01/08/2017;17,94;;;21522,3;20,8125;18,67;;;;;7100
02/08/2017;17,87;;;21798,6;20,125;18,2;;;;;7100
03/08/2017;17,86;;;21779,5;20,6875;18,44;;;;;7200
04/08/2017;17,94;;;21703,9;20,375;18,3;;;;;7800
07/08/2017;17,94;;;21478,4;20,25;18,2;;;;;7800
08/08/2017;17,97;;;21255,7;21,1875;18,36;;;;;8000
09/08/2017;17,98;;;20925;20,875;18,59;;;;;7800
10/08/2017;17,99;;;21133;21;18,98;;;;;7600
11/08/2017;17,99;;;21633;20,375;17,93;;;;;7800
14/08/2017;17,99;;;22540;20,8125;18,59;;;;;7900
15/08/2017;17,47;;;22702,4;20,6875;18,6;;;;;7900
16/08/2017;17,35;;;22887,9;20,9375;18,75;;;;;7600
17/08/2017;17,47;;;22724,5;21,0625;18,83;;;;;7800
18/08/2017;17,62;;;22967,4;20,875;18,82;;;;;7500
22/08/2017;17,57;;;22900,2;20,875;18,75;;;;;7700
23/08/2017;17,5;;;23262,4;20,8125;18,85;;;;;7800
24/08/2017;17,51;;;23392,5;20,875;18,6;;;;;7600
25/08/2017;17,46;;;23501;20,75;18,6;;;;;7100
28/08/2017;17,49;;;23482,1;20,8125;18,97;;;;;7100
29/08/2017;17,49;;;23443,6;21,1875;18,96;;;;;7700
30/08/2017;17,65;;;23491,8;21,1875;19,1;;;;;7800
31/08/2017;17,66;;;23589;21,1875;19,03;;;;;7500
01/09/2017;17,61;;;23657,6;20,875;18,65;;;;;7400
04/09/2017;17,51;;;23707,8;20,75;18,86;;;;;7800
05/09/2017;17,55;;;24025,9;21,25;19,18;;;;;7700
06/09/2017;17,54;;;24164,9;21;18,93;;;;;7500
07/09/2017;17,49;;;24250,3;21,25;18,66;;;;;7400
08/09/2017;17,49;;;24018,1;21,25;18,88;;;;;7600
11/09/2017;17,48;;;24066,5;21,125;18,54;;;;;7600
12/09/2017;17,46;;;23529,2;21,3125;19,29;;;;;7300
13/09/2017;17,37;;;23836,6;21,25;19,23;;;;;7300
14/09/2017;17,34;;;23701,7;21,375;18,99;;;;;7600
15/09/2017;17,29;;;23715,5;21,375;19,31;;;;;7300
18/09/2017;17,27;;;23913,9;21,3125;19,15;;;;;7300
19/09/2017;17,36;;;24214,6;21,625;18,93;;;;;7300
20/09/2017;17,42;;;24334,8;21,625;19,25;;;;;7300
21/09/2017;17,42;;;24578,7;21,5625;19,17;;;;;7300
22/09/2017;17,56;;;24994,5;21,4375;19,28;;;;;7300
25/09/2017;17,59;;;25047,2;21,1875;19;;;;;7400
26/09/2017;17,76;;;25166,2;21,5;19,08;;;;;7400
